Title,Subtitle,Price,Num,Color
Tatum 2 'Legacy',Basketball Shoes,"{'currency': 'GBP', 'currentPrice': 119.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 119.99, 'minimumAdvertisedPrice': None}",,
Air Jordan 1 High Method of Make,Women's Shoes,"{'currency': 'GBP', 'currentPrice': 144.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 144.99, 'minimumAdvertisedPrice': None}",,
Luka 2,Basketball Shoes,"{'currency': 'GBP', 'currentPrice': 119.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 119.99, 'minimumAdvertisedPrice': None}",,
Jordan Spizike Low,Men's Shoes,"{'currency': 'GBP', 'currentPrice': 154.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 154.99, 'minimumAdvertisedPrice': None}",,
Air Jordan 1 Low SE,Men's Shoes,"{'currency': 'GBP', 'currentPrice': 129.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 129.99, 'minimumAdvertisedPrice': None}",,
Air Jordan 1 Brooklyn,Women's Boot,"{'currency': 'GBP', 'currentPrice': 154.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 154.99, 'minimumAdvertisedPrice': None}",,
Air Jordan 6 Retro 'White/Black',Men's Shoes,"{'currency': 'GBP', 'currentPrice': 189.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 189.99, 'minimumAdvertisedPrice': None}",,
Air Jordan 1 Retro High,Men's Shoes,"{'currency': 'GBP', 'currentPrice': 174.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 174.99, 'minimumAdvertisedPrice': None}",,
Air Jordan 3 Retro x Nina Chanel Abney,Women's Shoes,"{'currency': 'GBP', 'currentPrice': 209.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 209.99, 'minimumAdvertisedPrice': None}",,
Jordan x Nina Chanel Abney,T-Shirt,"{'currency': 'GBP', 'currentPrice': 54.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 54.99, 'minimumAdvertisedPrice': None}",,
Jordan x Nina Chanel Abney,Fleece Hoodie,"{'currency': 'GBP', 'currentPrice': 134.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 134.99, 'minimumAdvertisedPrice': None}",,
